1AWR,C,I,2ALF,A,2,10
1CZY,ABC,E,1CA4,ABC,2,21
1D4T,A,B,1D1Z,A,2,11
1DDV,A,B,1I2H,A,2,12
1EG4,A,P,1EG3,A,2,13
1ER8,E,I,4APE,A,2,14
1FM9,D,E,2HWQ,A,2,15
1GYB,AB,EF,1GY7,AB,2,51
1JD5,A,B,1JD4,A,2,16
1JWG,B,D,1JWF,A,2,17
1LVM,AC,E,1LVB,AC,2,54
1MFG,A,B,2H3L,A,2,18
1N7F,B,D,1N7E,A,2,19
1M7E,A,D,1P3R,A,2,20
1NVR,A,B,2X8D,A,2,23
1NX1,AB,CD,1ALV,AB,2,24
1JN5,AB,C,1JKG,AB,2,25
1SFI,A,I,1UTN,A,2,26
1SSH,A,B,1OOT,A,2,27
1T4F,M,P,1T4E,A,2,28
1T7R,A,B,2AM9,A,2,29
1W9E,A,T,1R6J,A,2,30
1X2R,A,B,1X2J,A,2,31
1YWO,A,P,1YWP,A,2,32
2B9H,A,C,2B9F,A,2,33
2C3I,B,A,2J2I,B,2,34
2CCH,AB,E,1H1R,AB,2,35
2DF6,B,D,2G6F,X,2,36
2DS8,AB,QP,2DS5,AB,2,37
2FMF,A,B,1JBE,A,2,38
2FOJ,A,B,2F1W,A,2,39
2FVJ,A,B,2HWQ,A,2,15
2H9M,C,D,2H14,A,2,40
2HPL,A,B,2HPJ,A,2,41
2O4J,A,C,1IE9,A,2,42
2O9V,A,B,2O9S,A,2,43
2P54,A,B,2ZNN,A,2,44
2VJ0,A,PQ,1B9K,A,2,45
2ZJD,A,B,1UGM,A,2,46
3D1E,AB,P,3D1G,AB,2,47
3LNY,A,B,3LNX,A,2,48
1RXZ,A,B,1RWZ,A,2,49
2A3I,A,B,2AAX,A,2,50
