28	208.226
32	279.825
22	248.924
22	162.330
80	771.284
44	299.523
32	242.931
22	154.941
41	217.814
27	228.739
26	355.112
46	548.104
34	77.476
25	212.290
45	387.145
24	157.377
31	291.849
26	185.811
35	248.298
33	192.406
25	224.640
24	231.802
26	224.864
32	442.275
28	282.126
26	124.754
24	127.568
25	204.605
75	674.102
29	237.919
23	207.397
27	258.192
30	86.884
30	306.985
31	328.126
30	301.138
24	203.047
28	255.641
41	196.128
23	159.894
31	224.796
27	277.420
24	84.302
50	246.290
42	108.774
25	208.064
23	137.353
55	346.295
48	353.216
37	199.487
32	357.826
30	269.657
56	443.962
41	283.552
25	118.705
25	166.533
27	265.686
85	595.455
46	436.122
52	292.502
38	234.190
32	107.058
41	260.397
31	229.812
25	222.726
25	177.754
26	137.713
62	469.285
42	100.751
41	289.448
33	149.139
31	323.810
49	462.518
56	467.289
31	308.610
26	116.660
25	275.620
26	244.355
22	201.309
28	98.611
31	222.221
32	383.980
27	326.749
25	258.117
55	159.877
24	107.489
27	223.935
33	219.951
45	376.594
28	33.291
27	296.545
25	225.016
25	236.569
47	326.588
35	140.434
30	246.881
