21	78.147	32	279.825
22	54.048	22	248.924
22	41.489	24	227.483
10	16.751	28	208.226
11	12.885	19	204.219
11	12.509	15	195.181
14	10.240	17	194.629
13	5.737	17	192.666
9	2.800	15	187.224
9	1.313	14	186.612
10	0.787	15	170.690
8	0.787	22	162.330
20	0.787	19	162.268
21	0.787	14	146.725
16	0.787	13	143.106
17	0.787	14	138.713
15	0.787	19	138.598
29	0.787	13	137.681
14	0.787	12	136.533
35	0.787	16	130.068
15	0.787	17	122.671
341	1614.370	80	771.284
38	98.512	21	310.296
32	90.078	25	303.380
27	48.236	44	299.523
30	37.679	24	287.946
18	26.470	20	271.665
13	11.037	22	266.266
11	8.528	17	247.601
17	8.171	32	242.931
9	7.564	20	232.642
10	7.513	26	232.213
8	5.667	18	231.213
13	5.408	41	217.814
54	4.437	12	216.958
361	2.644	18	215.881
11	1.782	16	205.457
13	0.977	16	203.863
9	0.157	16	202.534
20	0.090	21	201.515
49	0.090	18	200.231
9	0.090	16	195.794
42	0.090	18	193.132
18	0.090	15	184.027
8	0.090	17	171.240
42	0.090	17	168.376
31	0.090	13	164.340
29	0.090	21	159.694
64	303.327	26	355.112
20	16.548	21	258.710
9	7.887	23	234.865
11	5.261	21	230.128
11	2.898	27	228.739
8	2.385	21	220.874
6	0.830	19	212.798
7	0.723	22	211.940
8	0.723	22	201.032
71	0.723	19	188.769
12	0.723	14	176.391
26	0.723	15	170.267
8	0.723	19	166.311
14	0.723	19	165.587
11	0.723	16	154.871
17	0.723	14	153.280
16	0.723	17	150.635
12	0.723	12	150.571
12	0.723	18	150.074
58	292.101	46	548.104
20	33.214	19	272.728
17	32.612	17	269.290
15	26.309	23	234.612
16	23.547	22	233.650
12	17.834	17	229.952
13	15.964	19	223.533
11	14.883	18	215.140
67	11.944	25	212.290
11	7.007	19	205.298
26	6.650	21	205.053
23	5.190	20	195.664
16	4.730	17	193.657
22	4.337	25	185.783
29	2.186	16	181.446
10	0.204	16	180.969
16	0.204	15	178.459
18	0.204	14	173.633
17	0.204	19	164.478
12	47.786	45	387.145
23	39.938	31	291.849
23	33.156	15	247.648
11	15.927	27	242.791
11	14.372	14	203.452
31	8.454	20	192.280
9	6.924	22	188.538
9	6.906	26	185.811
10	6.333	16	172.829
12	5.728	24	157.377
7	4.667	19	155.840
17	2.346	15	147.178
18	2.265	18	143.435
17	1.041	18	139.330
30	1.041	16	135.022
14	1.041	21	134.265
16	1.041	15	132.437
50	240.290	17	372.315
32	109.066	16	281.941
25	48.107	35	248.298
18	30.431	24	231.802
9	15.192	26	224.864
11	9.967	25	224.640
5	4.888	22	211.842
6	0.541	17	201.909
6	0.471	17	198.751
7	0.471	19	197.600
71	327.767	32	442.275
29	61.141	19	286.594
19	31.005	28	282.126
22	30.738	21	247.472
17	29.156	24	247.421
14	28.122	17	240.542
13	25.311	28	235.692
18	23.482	19	216.352
13	15.956	20	213.815
9	13.092	20	211.910
11	6.519	19	206.828
7	4.629	25	204.605
8	3.379	24	196.241
7	1.878	18	195.501
9	1.606	19	195.348
31	1.289	24	193.425
7	0.711	20	187.069
10	0.351	23	184.075
10	0.351	13	183.656
7	0.351	20	183.025
8	0.351	17	177.543
7	0.351	15	176.828
7	0.351	16	174.590
8	0.351	21	173.751
6	0.351	17	171.924
7	0.351	23	171.677
7	0.351	13	171.337
36	0.351	14	170.613
25	0.351	24	168.505
23	0.351	21	167.989
27	0.351	18	165.520
49	0.351	14	164.159
41	0.351	14	157.163
40	0.351	15	157.082
92	0.351	21	154.387
136	653.016	75	674.102
21	50.792	20	306.601
21	30.744	16	270.976
22	21.772	21	266.297
12	16.579	27	258.192
11	11.535	29	237.919
13	9.522	19	208.151
13	5.891	23	207.397
10	5.707	16	206.479
10	2.019	21	205.545
8	1.212	17	202.615
12	0.686	20	194.282
11	0.313	18	192.820
7	0.073	16	190.308
7	0.073	13	185.906
8	0.073	17	184.563
25	0.073	16	182.838
7	0.073	16	181.765
