# PDB   RECALL   SPECIFICITY
1AWR    .777      .700
1CKA    .818      .333
1CZY    0      0
1D4T    0      0
1DDV    0      0
1DKX    0      0
1EG4    0      0
1ER8    .352      1.000
1GYB    .200      .040
1HC9    .928      .590
1IHJ    0      0
1JD5    .642      .391
1JWG    0      0
1LVM    .666      .857
1MFG    .666      .615
1N7F    0      0
1NLN    .388      .777
1NQ7    0      0
1NTV    0      0
1NVR    0      0
1NX1    0      0
1OAI    .800      .421
1QKZ    0      0
1RXZ    0      0
1SE0    0      0
1SFI    .500      1.000
1SSH    .888      .363
1T4F    .363      .666
1T7R    .272      .500
1TP5    .727      .727
1TW6    .900      .375
1U00    0      0
1UJ0    0      0
1VZQ    0      0
1W9E    .250      .571
1X2R    .133      1.000
1YMT    0      0
1YWO    0      0
2A3I    0      0
2AK5    .250      .666
2B1Z    0      0
2B9H    .090      .500
2BBA    0      0
2C3I    0      0
2CCH    .466      .700
2D0N    0      0
2DS8    1.000      .285
2FMF    .500      .266
2FOJ    0      0
2FVJ    0      0
2H9M    0      0
2HO2    0      0
2HPL    .875      .291
2J6F    0      0
2JAM    0      0
2O02    .166      1.000
2O4J    0      0
2O9V    0      0
2P0W    .266      .500
2P1K    .562      .818
2P1T    0      0
2P54    0      0
2PUY    0      0
2QOS    .384      .500
2R7G    0      0
2V3S    .818      .346
2VJ0    0      0
2ZJD    .071      .100
3BU3    .115      1.000
3BWA    .250      .833
3CVP    0      0
3D1E    0      0
3D9T    0      0
