# PDB   RECALL   SPECIFICITY
1AWR    .777      .500
1CKA    .818      .290
1CZY    .636      .368
1D4T    .785      .379
1DDV    .200      .052
1DKX    .846      .611
1EG4    0      0
1ER8    .705      .857
1GYB    .200      .030
1HC9    .928      .433
1IHJ    .875      .333
1JD5    .642      .230
1JWG    0      0
1LVM    .666      .600
1MFG    .666      .380
1N7F    .615      .347
1NLN    .444      .421
1NQ7    0      0
1NTV    .555      .384
1NVR    0      0
1NX1    .384      .277
1OAI    .800      .307
1QKZ    .714      .263
1RXZ    .666      .588
1SE0    0      0
1SFI    .666      .727
1SSH    .888      .296
1T4F    .818      .473
1T7R    .272      .272
1TP5    .727      .500
1TW6    .900      .310
1U00    .666      .533
1UJ0    .888      .421
1VZQ    0      0
1W9E    .687      .379
1X2R    .133      .083
1YMT    0      0
1YWO    .714      .312
2A3I    .400      .250
2AK5    .875      .259
2B1Z    .454      .277
2B9H    .090      .142
2BBA    .583      .437
2C3I    .294      .454
2CCH    .466      .466
2D0N    1.000      .320
2DS8    1.000      .146
2FMF    .500      .114
2FOJ    .777      .269
2FVJ    .500      .400
2H9M    .818      .409
2HO2    1.000      .312
2HPL    .875      .179
2J6F    .888      .380
2JAM    0      0
2O02    .611      .785
2O4J    .600      .600
2O9V    .571      .173
2P0W    .266      .210
2P1K    .562      .450
2P1T    .666      .500
2P54    .600      .333
2PUY    .692      .473
2QOS    1.000      .590
2R7G    .090      .285
2V3S    .818      .290
2VJ0    .153      .222
2ZJD    .428      .333
3BU3    .423      1.000
3BWA    .850      .739
3CVP    .846      .289
3D1E    .727      .470
3D9T    .777      .212
