# PDB   RECALL   SPECIFICITY
1AWR    .777      .500
1CKA    .818      .290
1CZY    .636      .318
1D4T    .785      .343
1DDV    .400      .095
1DKX    .846      .550
1EG4    .090      .055
1ER8    .705      .600
1GYB    .200      .025
1HC9    .928      .361
1IHJ    .875      .259
1JD5    .642      .200
1JWG    .777      .333
1LVM    .666      .500
1MFG    .666      .275
1N7F    .615      .258
1NLN    .444      .320
1NQ7    0      0
1NTV    .555      .312
1NVR    .750      .115
1NX1    .615      .228
1OAI    .800      .186
1QKZ    .714      .138
1RXZ    .666      .294
1SE0    .727      .195
1SFI    .666      .222
1SSH    .888      .153
1T4F    .818      .204
1T7R    .272      .083
1TP5    .727      .250
1TW6    .900      .200
1U00    .666      .258
1UJ0    .888      .228
1VZQ    0      0
1W9E    .687      .239
1X2R    .133      .048
1YMT    0      0
1YWO    .714      .151
2A3I    .400      .121
2AK5    .875      .159
2B1Z    .454      .142
2B9H    .090      .041
2BBA    .583      .212
2C3I    .294      .185
2CCH    .466      .225
2D0N    1.000      .195
2DS8    1.000      .105
2FMF    .500      .078
2FOJ    .777      .166
2FVJ    .500      .153
2H9M    .818      .236
2HO2    1.000      .156
2HPL    .875      .127
2J6F    .888      .216
2JAM    0      0
2O02    .611      .354
2O4J    .600      .222
2O9V    .571      .100
2P0W    .266      .111
2P1K    .562      .250
2P1T    .666      .250
2P54    .600      .176
2PUY    .692      .257
2QOS    1.000      .342
2R7G    .363      .258
2V3S    .818      .163
2VJ0    .153      .066
2ZJD    .428      .153
3BU3    .423      .343
3BWA    .850      .386
3CVP    .846      .186
3D1E    .727      .228
3D9T    .777      .137
