######## stats over 1 top clusters ########
#PDB	TPR	FPR
1AWR	0.67	0.2
1CKA	0.82	0.48
1CZY	0	0.03
1D4T	0.86	0.23
1DDV	0	0.14
1DKX	0	0.03
1EG4	0	0.09
1ER8	0.29	0.02
1GYB	0	0.25
1HC9	0.79	0.25
1IHJ	0.88	0.23
1JD5	0.64	0.15
1JWG	0	0.03
1LVM	0.59	0.16
1MFG	0.75	0.12
1N7F	0.62	0.12
1NLN	0.44	0.09
1NQ7	0	0.02
1NTV	0.72	0.04
1NVR	0	0.02
1NX1	0	0.17
1OAI	0.8	0.35
1QKZ	0	0.03
1RXZ	0.8	0.03
1SE0	0.91	0.2
1SFI	0.5	0.02
1SSH	1	0.35
1T4F	0.36	0.13
1T7R	0.82	0.04
1TP5	0.82	0.11
1TW6	0.9	0.33
1U00	0.83	0.24
1UJ0	1	0.25
1VZQ	0	0.02
1W9E	0.25	0.04
1X2R	0.27	0.02
1YMT	0	0.03
1YWO	0.71	0.34
2A3I	0.9	0.06
2AK5	0.62	0.16
2B1Z	1	0.08
2B9H	0.09	0.03
2BBA	0.75	0.21
2C3I	0	0.03
2CCH	0	0.04
2D0N	1	0.39
2DS8	0.83	0.48
2FMF	0.5	0.25
2FOJ	0	0.09
2FVJ	0	0.02
2H9M	0	0.1
2HO2	1	0.4
2HPL	0	0.04
2J6F	0.89	0.23
2JAM	0	0.04
2O02	0.78	0.17
2O4J	1	0.03
2O9V	0	0.13
2P0W	0	0.03
2P1K	0.75	0.14
2P1T	0.92	0.07
2P54	1	0.02
2PUY	0.69	0.1
2QOS	0.38	0.07
2R7G	0	0.02
2V3S	1	0.21
2VJ0	0.08	0.04
2ZJD	0.57	0.11
3BU3	0.12	0
3BWA	0.1	0.04
3CVP	0.92	0.08
3D1E	0.82	0.04
3D9T	0.78	0.02
