######## stats over 2 top clusters ########
#PDB	TPR	FPR
1AWR	0.67	0.25
1CKA	0.82	0.48
1CZY	0	0.07
1D4T	0.86	0.31
1DDV	0.6	0.28
1DKX	0	0.07
1EG4	0	0.12
1ER8	0.64	0.04
1GYB	0.2	0.39
1HC9	0.79	0.32
1IHJ	0.88	0.29
1JD5	0.64	0.19
1JWG	0	0.1
1LVM	0.74	0.19
1MFG	0.75	0.18
1N7F	0.62	0.24
1NLN	0.44	0.14
1NQ7	1	0.1
1NTV	0.72	0.13
1NVR	0	0.04
1NX1	0.23	0.17
1OAI	0.8	0.41
1QKZ	0	0.07
1RXZ	0.8	0.07
1SE0	0.91	0.42
1SFI	0.5	0.04
1SSH	1	0.41
1T4F	0.91	0.2
1T7R	0.82	0.07
1TP5	0.82	0.16
1TW6	0.9	0.39
1U00	0.83	0.3
1UJ0	1	0.39
1VZQ	0	0.07
1W9E	0.69	0.23
1X2R	0.27	0.04
1YMT	1	0.08
1YWO	0.85	0.41
2A3I	0.9	0.08
2AK5	0.87	0.21
2B1Z	1	0.1
2B9H	0.09	0.04
2BBA	0.75	0.27
2C3I	0.65	0.04
2CCH	0.93	0.08
2D0N	1	0.52
2DS8	0.83	0.48
2FMF	0.5	0.41
2FOJ	0	0.12
2FVJ	0.88	0.06
2H9M	0.82	0.12
2HO2	1	0.55
2HPL	0.88	0.2
2J6F	0.89	0.43
2JAM	0	0.11
2O02	0.95	0.33
2O4J	1	0.05
2O9V	0	0.26
2P0W	0.8	0.07
2P1K	0.75	0.25
2P1T	0.92	0.09
2P54	1	0.08
2PUY	0.69	0.24
2QOS	1	0.11
2R7G	0.09	0.02
2V3S	1	0.38
2VJ0	0.08	0.07
2ZJD	0.64	0.24
3BU3	0.58	0.03
3BWA	0.35	0.05
3CVP	0.92	0.13
3D1E	0.91	0.06
3D9T	0.78	0.18
