######## stats over 8 top clusters ########
#PDB	TPR	FPR
1AWR	0.78	0.31
1CKA	0.82	0.48
1CZY	0.82	0.23
1D4T	0.86	0.35
1DDV	0.8	0.42
1DKX	1	0.31
1EG4	0.45	0.32
1ER8	0.76	0.15
1GYB	0.2	0.39
1HC9	0.79	0.46
1IHJ	0.88	0.37
1JD5	0.64	0.23
1JWG	0.78	0.26
1LVM	0.74	0.26
1MFG	0.75	0.34
1N7F	0.62	0.28
1NLN	0.61	0.3
1NQ7	1	0.18
1NTV	0.72	0.16
1NVR	0.5	0.16
1NX1	0.54	0.3
1OAI	0.8	0.47
1QKZ	0.29	0.24
1RXZ	0.8	0.16
1SE0	0.91	0.42
1SFI	0.5	0.1
1SSH	1	0.41
1T4F	0.91	0.2
1T7R	0.82	0.16
1TP5	0.82	0.16
1TW6	0.9	0.39
1U00	0.83	0.32
1UJ0	1	0.39
1VZQ	0.17	0.21
1W9E	0.69	0.29
1X2R	0.34	0.12
1YMT	1	0.21
1YWO	0.85	0.41
2A3I	0.9	0.16
2AK5	0.87	0.26
2B1Z	1	0.22
2B9H	0.91	0.22
2BBA	0.75	0.29
2C3I	0.71	0.15
2CCH	0.93	0.24
2D0N	1	0.52
2DS8	0.83	0.48
2FMF	0.5	0.41
2FOJ	0.89	0.31
2FVJ	0.88	0.18
2H9M	0.82	0.2
2HO2	1	0.55
2HPL	0.88	0.34
2J6F	0.89	0.43
2JAM	0.29	0.24
2O02	0.95	0.4
2O4J	1	0.2
2O9V	0.86	0.65
2P0W	0.8	0.18
2P1K	0.75	0.3
2P1T	0.92	0.2
2P54	1	0.2
2PUY	0.69	0.31
2QOS	1	0.2
2R7G	0.5	0.13
2V3S	1	0.38
2VJ0	0.7	0.26
2ZJD	0.71	0.36
3BU3	0.77	0.24
3BWA	0.6	0.05
3CVP	0.92	0.3
3D1E	0.91	0.16
3D9T	0.78	0.3
