######## stats over 1 top clusters ########
#PDB	TPR	FPR
1AWR	0.67	0.22
1CKA	0.82	0.62
1CZY	0	0.03
1D4T	0.86	0.29
1DDV	0	0.18
1DKX	0	0.04
1EG4	0	0.09
1ER8	0.29	0.04
1GYB	0	0.26
1HC9	0.79	0.43
1IHJ	0.88	0.25
1JD5	0.79	0.4
1JWG	0	0.03
1LVM	0.67	0.23
1MFG	0	0.06
1N7F	0.62	0.4
1NLN	0	0.05
1NQ7	0	0.03
1NTV	0.72	0.07
1NVR	0	0.03
1NX1	0	0.19
1OAI	0.9	0.45
1QKZ	0	0.04
1RXZ	0.93	0.04
1SE0	0	0.22
1SFI	0.5	0.02
1SSH	1	0.52
1T4F	0.36	0.13
1T7R	0.55	0.05
1TP5	0.91	0.19
1TW6	0.9	0.47
1U00	1	0.31
1UJ0	1	0.25
1VZQ	0	0.02
1W9E	0.06	0.01
1X2R	0.33	0.05
1YMT	0	0.03
1YWO	0.71	0.52
2A3I	1	0.06
2AK5	0.25	0.08
2B1Z	0	0.05
2B9H	0.09	0.04
2BBA	0.75	0.24
2C3I	0	0.02
2CCH	1	0.17
2D0N	1	0.48
2DS8	0.83	0.59
2FMF	0.62	0.26
2FOJ	0.89	0.51
2FVJ	0	0.02
2H9M	0	0.12
2HO2	1	0.4
2HPL	0.88	0.53
2J6F	0.89	0.23
2JAM	0	0.06
2O02	0.78	0.17
2O4J	1	0.03
2O9V	0	0.13
2P0W	0	0.04
2P1K	0.81	0.16
2P1T	0.92	0.15
2P54	1	0.04
2PUY	0.69	0.1
2QOS	0.38	0.07
2R7G	0	0.02
2V3S	1	0.28
2VJ0	0	0.03
2ZJD	0	0.07
3BU3	0.12	0
3BWA	0.25	0.01
3CVP	1	0.09
3D1E	0.82	0.08
3D9T	0.89	0.14
