######## stats over 7 top clusters ########
#PDB	TPR	FPR
1AWR	0.78	0.39
1CKA	0.82	0.62
1CZY	0.82	0.3
1D4T	0.86	0.44
1DDV	0.8	0.54
1DKX	1	0.41
1EG4	0.55	0.36
1ER8	0.76	0.21
1GYB	0.2	0.46
1HC9	0.79	0.5
1IHJ	0.88	0.43
1JD5	0.79	0.4
1JWG	0.78	0.34
1LVM	0.82	0.36
1MFG	0.83	0.41
1N7F	0.62	0.46
1NLN	0.78	0.36
1NQ7	1	0.25
1NTV	0.72	0.24
1NVR	0	0.19
1NX1	0.54	0.3
1OAI	0.9	0.57
1QKZ	0.57	0.21
1RXZ	0.93	0.19
1SE0	0.91	0.61
1SFI	0.5	0.12
1SSH	1	0.52
1T4F	0.91	0.28
1T7R	0.91	0.23
1TP5	0.91	0.32
1TW6	0.9	0.51
1U00	1	0.42
1UJ0	1	0.5
1VZQ	0.17	0.24
1W9E	0.75	0.39
1X2R	0.46	0.22
1YMT	1	0.28
1YWO	0.85	0.59
2A3I	1	0.19
2AK5	0.87	0.37
2B1Z	1	0.45
2B9H	1	0.22
2BBA	0.75	0.38
2C3I	0.82	0.21
2CCH	1	0.29
2D0N	1	0.64
2DS8	0.83	0.59
2FMF	0.62	0.44
2FOJ	0.89	0.51
2FVJ	0.88	0.29
2H9M	0.82	0.24
2HO2	1	0.6
2HPL	0.88	0.53
2J6F	0.89	0.5
2JAM	0.57	0.35
2O02	0.95	0.4
2O4J	1	0.2
2O9V	0.86	0.68
2P0W	0.93	0.32
2P1K	0.81	0.32
2P1T	0.92	0.31
2P54	1	0.31
2PUY	0.69	0.44
2QOS	1	0.31
2R7G	0.63	0.17
2V3S	1	0.53
2VJ0	0.7	0.31
2ZJD	0.86	0.47
3BU3	0.77	0.29
3BWA	0.85	0.16
3CVP	1	0.28
3D1E	0.91	0.22
3D9T	0.89	0.4
