1AWR	9	10	2	16	75
1CKA	11	16	0	29	146
1CZY	0	6	0	12	109
1D4T	14	10	1	23	82
1DDV	0	5	0	17	61
1DKX	0	16	0	26	86
1EG4	3	3	0	14	114
1ER8	17	13	7	21	152
1GYB	5	6	0	14	69
1HC9	14	10	5	13	45
1IHJ	0	5	0	9	49
1JD5	0	5	0	19	69
1JWG	9	3	0	7	71
1LVM	27	23	16	32	108
1MFG	0	7	0	15	57
1N7F	0	11	0	15	68
1NQ7	0	18	0	20	127
1NTV	18	14	0	19	89
1NVR	4	3	0	19	129
1NX1	0	7	0	22	101
1OAI	10	19	6	21	55
1QKZ	7	2	0	6	112
1RXZ	15	6	4	19	110
1SE0	11	8	0	13	85
1SFI	12	17	7	19	98
1SSH	9	11	2	13	34
1T4F	11	25	2	29	88
1T7R	0	4	0	8	106
1TP5	0	12	0	15	59
1TW6	0	8	0	18	68
1U00	0	15	0	28	85
1UJ0	9	14	0	26	69
1W9E	0	18	0	18	43
1X2R	0	2	0	4	116
1YMT	0	5	0	10	115
1YWO	0	11	0	13	42
2A3I	10	4	0	18	120
2AK5	8	4	1	13	40
2B9H	11	15	4	31	151
2C3I	17	11	4	19	123
2CCH	0	20	0	27	116
2D0N	0	6	0	19	40
2DS8	6	13	4	21	34
2FMF	8	7	0	16	62
2FOJ	7	8	0	18	84
2FVJ	8	7	2	15	127
2H9M	9	8	0	16	121
2HO2	5	13	0	18	41
2HPL	8	17	1	17	61
2J6F	9	13	2	25	55
2JAM	7	3	0	11	113
2O02	18	17	2	26	130
2O4J	10	9	2	12	114
2O9V	0	5	0	7	37
2P0W	15	8	0	28	149
2P54	9	6	1	20	122
2PUY	13	18	2	20	47
2VJ0	0	3	0	14	126
2ZJD	14	11	4	24	76
3CVP	13	7	1	13	143
3D1E	11	17	8	33	168
3D9T	0	6	0	18	69
