# PDB   RECALL   SPECIFICITY
1AWR    .777      .318
1CKA    .363      .307
1CZY    .272      .166
1D4T    .714      .303
1DDV    .800      .200
1DKX    1.000      .250
1EG4    .272      .136
1ER8    .529      .321
1GYB    0      0
1HC9    .428      .272
1IHJ    .625      .227
1JD5    .571      .307
1JWG    0      0
1LVM    .629      .395
1MFG    .583      .250
1N7F    .461      .260
1NLN    .444      .307
1NQ7    1.000      .233
1NTV    .388      .333
1NVR    .500      .090
1NX1    .307      .142
1OAI    .600      .250
1QKZ    0      0
1RXZ    .800      .375
1SE0    .545      .181
1SFI    .500      .240
1SSH    .666      .240
1T4F    .636      .250
1T7R    .636      .259
1TP5    .818      .250
1TW6    .500      .208
1U00    .666      .133
1UJ0    .777      .109
1VZQ    .166      .041
1W9E    .500      .266
1X2R    .333      .156
1YMT    1.000      .172
1YWO    .714      .200
2A3I    .900      .310
2AK5    .750      .250
2B1Z    1.000      .261
2B9H    1.000      .234
2BBA    .583      .125
2C3I    .647      .333
2CCH    .933      .311
2D0N    .625      .166
2DS8    .333      .076
2FMF    .375      .093
2FOJ    .222      .080
2FVJ    .875      .218
2H9M    .181      .071
2HO2    .400      .105
2HPL    .625      .185
2J6F    .333      .136
2JAM    .285      .050
2O02    .944      .265
2O4J    1.000      .312
2O9V    .714      .227
2P0W    .800      .279
2P1K    .687      .275
2P1T    .833      .227
2P54    1.000      .294
2PUY    .307      .173
2QOS    .769      .344
2R7G    .636      .350
2V3S    .636      .179
2VJ0    .692      .250
2ZJD    .642      .250
3BU3    .769      .400
3BWA    .200      .125
3CVP    1.000      .351
3D1E    .909      .263
3D9T    .555      .192
