# PDB   RECALL   SPECIFICITY
1AWR    0      0
1CKA    0      0
1CZY    0      0
1D4T    .714      .526
1DDV    0      0
1DKX    0      0
1EG4    .272      1.000
1ER8    0      0
1GYB    0      0
1HC9    0      0
1IHJ    .375      1.000
1JD5    .500      .700
1JWG    0      0
1LVM    .148      .571
1MFG    .583      .636
1N7F    .461      .750
1NLN    .333      1.000
1NQ7    1.000      .538
1NTV    0      0
1NVR    0      0
1NX1    0      0
1OAI    .600      .857
1QKZ    0      0
1RXZ    0      0
1SE0    .545      .375
1SFI    .500      .750
1SSH    .666      .750
1T4F    .181      .400
1T7R    .181      1.000
1TP5    .818      .750
1TW6    .500      .833
1U00    0      0
1UJ0    .777      .636
1VZQ    0      0
1W9E    .375      1.000
1X2R    0      0
1YMT    1.000      .555
1YWO    .714      .833
2A3I    0      0
2AK5    .500      1.000
2B1Z    0      0
2B9H    0      0
2BBA    .583      .318
2C3I    .588      .909
2CCH    0      0
2D0N    .625      .625
2DS8    .333      .500
2FMF    0      0
2FOJ    0      0
2FVJ    .875      .466
2H9M    0      0
2HO2    .400      1.000
2HPL    0      0
2J6F    .333      .600
2JAM    0      0
2O02    .777      .500
2O4J    1.000      .909
2O9V    .571      1.000
2P0W    .800      .705
2P1K    .687      .687
2P1T    .833      .666
2P54    0      0
2PUY    .307      .800
2QOS    0      0
2R7G    .454      .666
2V3S    .636      .636
2VJ0    .230      .600
2ZJD    0      0
3BU3    .115      1.000
3BWA    .050      .333
3CVP    1.000      .812
3D1E    0      0
3D9T    .555      .833
