######## stats over 1 top clusters ########
#PDB	TPR	FPR
1AWR	0.78	0.09
1CKA	0.73	0.1
1CZY	0	0.03
1D4T	0.86	0.19
1DDV	0	0.14
1DKX	0.92	0.03
1EG4	0	0.02
1ER8	0.24	0.01
1GYB	0.2	0.08
1HC9	0.64	0.07
1IHJ	0.88	0.09
1JD5	0.64	0.08
1JWG	0	0.03
1LVM	0.56	0.12
1MFG	0.75	0.06
1N7F	0.62	0.06
1NLN	0	0.02
1NQ7	0.14	0.03
1NTV	0.61	0.03
1NVR	0	0.02
1NX1	0	0.16
1OAI	0.8	0.23
1QKZ	0	0.02
1RXZ	0.67	0.02
1SE0	0.82	0.08
1SFI	0.5	0.02
1SSH	0.89	0.23
1T4F	0.36	0.09
1T7R	0.45	0.03
1TP5	0.82	0.04
1TW6	0.9	0.18
1U00	0.67	0.03
1UJ0	0.78	0.07
1VZQ	0	0.02
1W9E	0.44	0.06
1X2R	0.2	0
1YMT	1	0.02
1YWO	0.71	0.03
2A3I	0	0.02
2AK5	0.62	0.08
2B1Z	0.91	0.07
2B9H	0	0.03
2BBA	0	0.02
2C3I	0.47	0
2CCH	0	0.05
2D0N	1	0.1
2DS8	0.83	0.21
2FMF	0	0.12
2FOJ	0.78	0.03
2FVJ	0	0.02
2H9M	0	0.08
2HO2	1	0.15
2HPL	0.88	0.14
2J6F	0.89	0.17
2JAM	0	0.02
2O02	0.17	0
2O4J	1	0
2O9V	0	0.13
2P0W	0.47	0.04
2P1K	0.56	0.08
2P1T	0.67	0.04
2P54	0.9	0
2PUY	0.62	0.07
2QOS	0.31	0
2R7G	0	0.02
2V3S	1	0.13
2VJ0	0.08	0.03
2ZJD	0.71	0.03
3BU3	0.12	0
3BWA	0.1	0.04
3CVP	0.92	0.06
3D1E	0.82	0.03
3D9T	0.78	0.02
