######## stats over 11 top clusters ########
#PDB	TPR	FPR
1AWR	0.78	0.15
1CKA	0.73	0.34
1CZY	0.45	0.16
1D4T	0.86	0.27
1DDV	0.4	0.26
1DKX	0.92	0.11
1EG4	0.18	0.15
1ER8	0.65	0.09
1GYB	0.2	0.33
1HC9	0.64	0.28
1IHJ	0.88	0.13
1JD5	0.64	0.16
1JWG	0.33	0.14
1LVM	0.6	0.16
1MFG	0.75	0.24
1N7F	0.62	0.14
1NLN	0.56	0.13
1NQ7	0.57	0.07
1NTV	0.61	0.06
1NVR	0.5	0.16
1NX1	0.54	0.18
1OAI	0.8	0.35
1QKZ	0.29	0.13
1RXZ	0.67	0.11
1SE0	0.82	0.22
1SFI	0.5	0.06
1SSH	0.89	0.23
1T4F	0.81	0.13
1T7R	0.63	0.07
1TP5	0.82	0.08
1TW6	0.9	0.22
1U00	0.67	0.16
1UJ0	0.78	0.14
1VZQ	0.17	0.1
1W9E	0.69	0.15
1X2R	0.2	0.04
1YMT	1	0.08
1YWO	0.71	0.1
2A3I	0.7	0.06
2AK5	0.87	0.16
2B1Z	0.91	0.14
2B9H	0.73	0.18
2BBA	0.67	0.2
2C3I	0.47	0.12
2CCH	0.93	0.14
2D0N	1	0.23
2DS8	0.83	0.35
2FMF	0.38	0.3
2FOJ	0.78	0.16
2FVJ	0.88	0.12
2H9M	0.45	0.08
2HO2	1	0.25
2HPL	0.88	0.18
2J6F	0.89	0.31
2JAM	0	0.13
2O02	0.78	0.09
2O4J	1	0.08
2O9V	0.57	0.35
2P0W	0.6	0.11
2P1K	0.56	0.24
2P1T	0.67	0.1
2P54	0.9	0.08
2PUY	0.62	0.21
2QOS	0.93	0.05
2R7G	0.36	0.09
2V3S	1	0.26
2VJ0	0.24	0.18
2ZJD	0.78	0.21
3BU3	0.66	0.14
3BWA	0.4	0.05
3CVP	0.92	0.15
3D1E	0.91	0.11
3D9T	0.78	0.14
